0.0001	-33.64	-11.25
0.0010	-33.56	-11.25
0.0100	-32.75	-11.24
0.0200	-31.86	-11.21
0.0300	-30.98	-11.16
0.0400	-30.12	-11.09
0.0600	-28.44	-10.90
0.0800	-26.87	-10.65
0.1000	-25.41	-10.36
0.1600	-21.80	-9.368
0.2000	-20.02	-8.723
0.2500	-18.36	-8.024
0.3000	-17.18	-7.467
0.4000	-15.71	-6.725
0.5000	-14.91	-6.333
0.6000	-14.41	-6.150
0.8000	-13.69	-6.050
1.0	-13.01	-5.997
1.2	-12.31	-5.881
1.6	-10.95	-5.475
2.0	-9.757	-4.981
2.5	-8.519	-4.388
3.0	-7.533	-3.868
4.0	-6.131	-3.068
5.0	-5.237	-2.523
6.0	-4.660	-2.156
7.0	-4.272	-1.915
8.0	-3.999	-1.754
9.0	-3.798	-1.649
10.0	-3.640	-1.582
12.0	-3.392	-1.504
16.0	-2.999	-1.435
20.0	-2.619	-1.386
25.0	-2.103	-1.312
30.0	-1.530	-1.211
40.0	-0.292	-0.926
50.0	0.848	-0.592
60.0	1.676	-0.326
70.0	2.083	-0.223
80.0	2.057	-0.310
90.0	1.643	-0.555
100.0	0.920	-0.894
110.0	-0.025	-1.247
120.0	-1.112	-1.537
130.0	-2.261	-1.706
140.0	-3.405	-1.713
150.0	-4.476	-1.540
160.0	-5.414	-1.182
170.0	-6.161	-0.657
180.0	-6.663	0.000
